Year,Month,Day,Hour,CH,TH,TS,SA,ZH,PE,MO
2014,6,15,21,0,0.3720565,0,0,0,0,0
2014,6,15,22,0,0.4518365,0,0,0,0,0
2014,6,15,23,0,0.469094,0,0,0,0,0
2014,6,16,0,0,0.392168,0,0,0,0,0
2014,6,16,1,0,0.32106,0,0,0,0,0
2014,6,16,2,0,0.404759,0,0,0,0,0
2014,6,16,3,0,0.55531,0,0,0,0,0
2014,6,16,4,0,0.63235,0,0,0,0,0
2014,6,16,5,0,0.69132,0,0,0,0,0
2014,6,16,6,0,0.65508,0,0,0,0,0
2014,6,16,7,0,0.66234,0,0,0,0,0
2014,6,16,8,0,0.6401,0,0,0,0,0
2014,6,16,9,0,0.641745,0,0,0,0,0
2014,6,16,10,0,0.615865,0,0,0,0,0
2014,6,16,11,0,0.57038,0,0,0,0,0
2014,6,16,12,0,0.588265,0,0,0,0,0
2014,6,16,13,0,0.483936,0,0,0,0,0
2014,6,16,14,0,0.343693,0,0,0,0,0
2014,6,16,15,0,0.3596705,0,0,0,0,0
2014,6,16,16,0,0.425263,0,0,0,0,0
2014,6,16,17,0,0.40121,0,0,0,0,0
2014,6,16,18,0,0.392167,0,0,0,0,0
2014,6,16,19,0,0.4129895,0,0,0,0,0
2014,6,16,20,0,0.4657535,0,0,0,0,0
2014,6,16,21,0,0.473131,0,0,0,0,0
2014,6,16,22,0,0.453069,0,0,0,0,0
2014,6,16,23,0,0.454675,0,0,0,0,0
2014,6,17,0,0,0.49788,0,0,0,0,0
2014,6,17,1,0,0.4142705,0,0,0,0,0
2014,6,17,2,0,0.35424,0,0,0,0,0
2014,6,17,3,0,0.460222,0,0,0,0,0
2014,6,17,4,0,0.54443,0,0,0,0,0
2014,6,17,5,0,0.66032,0,0,0,0,0
2014,6,17,6,0,0.639965,0,0,0,0,0
2014,6,17,7,0,0.690475,0,0,0,0,0
2014,6,17,8,0,0.766835,0,0,0,0,0
2014,6,17,9,0,0.721015,0,0,0,0,0
2014,6,17,10,0,0.67152,0,0,0,0,0
2014,6,17,11,0,0.51137,0,0,0,0,0
2014,6,17,12,0,0.532035,0,0,0,0,0
2014,6,17,13,0,0.3867285,0,0,0,0,0
2014,6,17,14,0,0.4354155,0,0,0,0,0
2014,6,17,15,0,0.3539555,0,0,0,0,0
2014,6,17,16,0,0.3730925,0,0,0,0,0
2014,6,17,17,0,0.3953095,0,0,0,0,0
2014,6,17,18,0,0.3903195,0,0,0,0,0
2014,6,17,19,0,0.354398,0,0,0,0,0
2014,6,17,20,0,0.3804235,0,0,0,0,0
2014,6,17,21,0,0.4390995,0,0,0,0,0
2014,6,17,22,0,0.446283,0,0,0,0,0
2014,6,17,23,0,0.504295,0,0,0,0,0
2014,6,18,0,0,0.435156,0,0,0,0,0
2014,6,18,1,0,0.4340065,0,0,0,0,0
2014,6,18,2,0,0.412928,0,0,0,0,0
2014,6,18,3,0,0.56352,0,0,0,0,0
2014,6,18,4,0,0.61711,0,0,0,0,0
2014,6,18,5,0,0.690175,0,0,0,0,0
2014,6,18,6,0,0.67243,0,0,0,0,0
2014,6,18,7,0,0.66043,0,0,0,0,0
2014,6,18,8,0,0.649165,0,0,0,0,0
2014,6,18,9,0,0.6001,0,0,0,0,0
2014,6,18,10,0,0.65052,0,0,0,0,0
2014,6,18,11,0,0.57365,0,0,0,0,0
2014,6,18,12,0,0.61681,0,0,0,0,0
2014,6,18,13,0,0.52321,0,0,0,0,0
2014,6,18,14,0,0.4776975,0,0,0,0,0
2014,6,18,15,0,0.393875,0,0,0,0,0
2014,6,18,16,0,0.395702,0,0,0,0,0
2014,6,18,17,0,0.3261625,0,0,0,0,0
2014,6,18,18,0,0.343695,0,0,0,0,0
2014,6,18,19,0,0.343537,0,0,0,0,0
2014,6,18,20,0,0.358001,0,0,0,0,0
2014,6,18,21,0,0.397288,0,0,0,0,0
2014,6,18,22,0,0.4505415,0,0,0,0,0
2014,6,18,23,0,0.382428,0,0,0,0,0
2014,6,19,0,0,0.425809,0,0,0,0,0
2014,6,19,1,0,0.35238,0,0,0,0,0
2014,6,19,2,0,0.427114,0,0,0,0,0
2014,6,19,3,0,0.442137,0,0,0,0,0
2014,6,19,4,0,0.598155,0,0,0,0,0
2014,6,19,5,0,0.66354,0,0,0,0,0
2014,6,19,6,0,0.740855,0,0,0,0,0
2014,6,19,7,0,0.73359,0,0,0,0,0
2014,6,19,8,0,0.74119,0,0,0,0,0
2014,6,19,9,0,0.662785,0,0,0,0,0
2014,6,19,10,0,0.561825,0,0,0,0,0
2014,6,19,11,0,0.53091,0,0,0,0,0
2014,6,19,12,0,0.4950635,0,0,0,0,0
2014,6,19,13,0,0.407674,0,0,0,0,0
2014,6,19,14,0,0.3771355,0,0,0,0,0
2014,6,19,15,0,0.3934135,0,0,0,0,0
2014,6,19,16,0,0.4112405,0,0,0,0,0
2014,6,19,17,0,0.37785,0,0,0,0,0
2014,6,19,18,0,0.371898,0,0,0,0,0
2014,6,19,19,0,0.36266,0,0,0,0,0
2014,6,19,20,0,0.357601,0,0,0,0,0
2014,6,19,21,0,0.384902,0,0,0,0,0
2014,6,19,22,0,0.4006895,0,0,0,0,0
2014,6,19,23,0,0.4374905,0,0,0,0,0
2014,6,20,0,0,0.422452,0,0,0,0,0
2014,6,20,1,0,0.4251255,0,0,0,0,0
2014,6,20,2,0,0.422819,0,0,0,0,0
2014,6,20,3,0,0.51066,0,0,0,0,0
2014,6,20,4,0,0.62366,0,0,0,0,0
2014,6,20,5,0,0.639965,0,0,0,0,0
2014,6,20,6,0,0.681905,0,0,0,0,0
2014,6,20,7,0,0.67773,0,0,0,0,0
2014,6,20,8,0,0.65756,0,0,0,0,0
2014,6,20,9,0,0.587215,0,0,0,0,0
2014,6,20,10,0,0.582405,0,0,0,0,0
2014,6,20,11,0,0.58027,0,0,0,0,0
2014,6,20,12,0,0.59852,0,0,0,0,0
2014,6,20,13,0,0.54858,0,0,0,0,0
2014,6,20,14,0,0.517705,0,0,0,0,0
2014,6,20,15,0,0.51877,0,0,0,0,0
2014,6,20,16,0,0.4896345,0,0,0,0,0
2014,6,20,17,0,0.502065,0,0,0,0,0
2014,6,20,18,0,0.491552,0,0,0,0,0
2014,6,20,19,0,0.468116,0,0,0,0,0
2014,6,20,20,0,0.426203,0,0,0,0,0
2014,6,20,21,0,0.4173595,0,0,0,0,0
2014,6,20,22,0,0.4612825,0,0,0,0,0
2014,6,20,23,0,0.4136265,0,0,0,0,0
2014,6,21,0,0,0.409502,0,0,0,0,0
2014,6,21,1,0,0.4049715,0,0,0,0,0
2014,6,21,2,0,0.380015,0,0,0,0,0
2014,6,21,3,0,0.439272,0,0,0,0,0
2014,6,21,4,0,0.4493335,0,0,0,0,0
2014,6,21,5,0,0.4157775,0,0,0,0,0
2014,6,21,6,0,0.431576,0,0,0,0,0
2014,6,21,7,0,0.51003,0,0,0,0,0
2014,6,21,8,0,0.51235,0,0,0,0,0
2014,6,21,9,0,0.57019,0,0,0,0,0
2014,6,21,10,0,0.45298,0,0,0,0,0
2014,6,21,11,0,0.437536,0,0,0,0,0
2014,6,21,12,0,0.459766,0,0,0,0,0
2014,6,21,13,0,0.426841,0,0,0,0,0
2014,6,21,14,0,0.4657385,0,0,0,0,0
2014,6,21,15,0,0.4442205,0,0,0,0,0
2014,6,21,16,0,0.4300415,0,0,0,0,0
2014,6,21,17,0,0.439742,0,0,0,0,0
2014,6,21,18,0,0.402918,0,0,0,0,0
2014,6,21,19,0,0.3880145,0,0,0,0,0
2014,6,21,20,0,0.415726,0,0,0,0,0
2014,6,21,21,0,0.448286,0,0,0,0,0
2014,6,21,22,0,0.525845,0,0,0,0,0
2014,6,21,23,0,0.445674,0,0,0,0,0
2014,6,22,0,0,0.4220925,0,0,0,0,0
2014,6,22,1,0,0.4339705,0,0,0,0,0
2014,6,22,2,0,0.417386,0,0,0,0,0
2014,6,22,3,0,0.4079745,0,0,0,0,0
2014,6,22,4,0,0.3829855,0,0,0,0,0
2014,6,22,5,0,0.425935,0,0,0,0,0
2014,6,22,6,0,0.43185,0,0,0,0,0
2014,6,22,7,0,0.441026,0,0,0,0,0
2014,6,22,8,0,0.50171,0,0,0,0,0
2014,6,22,9,0,0.391095,0,0,0,0,0
2014,6,22,10,0,0.4030415,0,0,0,0,0
2014,6,22,11,0,0.370076,0,0,0,0,0
2014,6,22,12,0,0.3409435,0,0,0,0,0
2014,6,22,13,0,0.344953,0,0,0,0,0
2014,6,22,14,0,0.3445965,0,0,0,0,0
2014,6,22,15,0,0.362548,0,0,0,0,0
2014,6,22,16,0,0.3190645,0,0,0,0,0
2014,6,22,17,0,0.314911,0,0,0,0,0
2014,6,22,18,0,0.348484,0,0,0,0,0
2014,6,22,19,0,0.369863,0,0,0,0,0
2014,6,22,20,0,0.389601,0,0,0,0,0
2014,6,22,21,0,0.404993,0,0,0,0,0
2014,6,22,22,0,0.376469,0,0,0,0,0
2014,6,22,23,0,0.387383,0,0,0,0,0
2014,6,23,0,0,0.362185,0,0,0,0,0
2014,6,23,1,0,0.362571,0,0,0,0,0
2014,6,23,2,0,0.351403,0,0,0,0,0
2014,6,23,3,0,0.3917145,0,0,0,0,0
2014,6,23,4,0,0.50226,0,0,0,0,0
2014,6,23,5,0,0.574295,0,0,0,0,0
2014,6,23,6,0,0.62218,0,0,0,0,0
2014,6,23,7,0,0.681215,0,0,0,0,0
2014,6,23,8,0,0.710035,0,0,0,0,0
2014,6,23,9,0,0.67526,0,0,0,0,0
2014,6,23,10,0,0.597095,0,0,0,0,0
2014,6,23,11,0,0.62244,0,0,0,0,0
2014,6,23,12,0,0.62798,0,0,0,0,0
2014,6,23,13,0,0.607855,0,0,0,0,0
2014,6,23,14,0,0.579675,0,0,0,0,0
2014,6,23,15,0,0.58164,0,0,0,0,0
2014,6,23,16,0,0.571375,0,0,0,0,0
2014,6,23,17,0,0.594905,0,0,0,0,0
2014,6,23,18,0,0.58292,0,0,0,0,0
2014,6,23,19,0,0.5769,0,0,0,0,0
2014,6,23,20,0,0.56057,0,0,0,0,0
2014,6,23,21,0,0.48515,0,0,0,0,0
2014,6,23,22,0,0.4500925,0,0,0,0,0
2014,6,23,23,0,0.502,0,0,0,0,0
2014,6,24,0,0,0.5137,0,0,0,0,0
2014,6,24,1,0,0.4619625,0,0,0,0,0
2014,6,24,2,0,0.4200655,0,0,0,0,0
2014,6,24,3,0,0.3956105,0,0,0,0,0
2014,6,24,4,0,0.4868835,0,0,0,0,0
2014,6,24,5,0,0.57967,0,0,0,0,0
2014,6,24,6,0,0.681735,0,0,0,0,0
2014,6,24,7,0,0.712965,0,0,0,0,0
2014,6,24,8,0,0.73222,0,0,0,0,0
2014,6,24,9,0,0.65992,0,0,0,0,0
2014,6,24,10,0,0.68524,0,0,0,0,0
2014,6,24,11,0,0.566025,0,0,0,0,0
2014,6,24,12,0,0.50231,0,0,0,0,0
2014,6,24,13,0,0.541745,0,0,0,0,0
2014,6,24,14,0,0.47981,0,0,0,0,0
2014,6,24,15,0,0.501315,0,0,0,0,0
